,day,number,total
1088,1720,2,2842
1089,1722,4,2846
1090,1723,3,2849
1091,1724,5,2854
1092,1725,2,2856
1093,1727,2,2858
1094,1728,2,2860
1095,1729,2,2862
1096,1730,2,2864
1097,1731,2,2866
1098,1734,1,2867
1099,1735,3,2870
1100,1736,2,2872
1101,1738,2,2874
1102,1741,1,2875
1103,1742,6,2881
1104,1743,2,2883
1105,1744,4,2887
1106,1745,1,2888
1107,1746,3,2891
1108,1749,1,2892
1109,1751,2,2894
1110,1752,1,2895
1111,1755,2,2897
1112,1756,2,2899
1113,1757,3,2902
1114,1758,5,2907
1115,1762,2,2909
1116,1763,3,2912
1117,1764,2,2914
1118,1765,1,2915
1119,1768,1,2916
1120,1769,1,2917
1121,1771,1,2918
1122,1772,1,2919
1123,1773,1,2920
1124,1776,1,2921
1125,1777,2,2923
1126,1783,2,2925
1127,1784,2,2927
1128,1785,1,2928
1129,1786,4,2932
1130,1787,2,2934
1131,1788,3,2937
1132,1789,3,2940
1133,1790,6,2946
1134,1791,3,2949
1135,1792,3,2952
1136,1797,1,2953
1137,1800,1,2954
1138,1801,2,2956
1139,1802,2,2958
1140,1804,2,2960
1141,1806,2,2962
1142,1808,2,2964
1143,1811,1,2965
1144,1812,1,2966
1145,1818,1,2967
1146,1819,3,2970
1147,1820,3,2973
1148,1821,1,2974
1149,1822,2,2976
1150,1825,2,2978
1151,1827,1,2979
1152,1828,3,2982
1153,1829,1,2983
1154,1831,1,2984
1155,1832,7,2991
1156,1833,1,2992
1157,1834,1,2993
1158,1836,1,2994
1159,1841,1,2995
1160,1846,2,2997
1161,1848,1,2998
1162,1849,1,2999
1163,1853,2,3001
1164,1854,3,3004
1165,1855,3,3007
1166,1856,4,3011
1167,1857,1,3012
1168,1858,2,3014
1169,1860,3,3017
1170,1861,2,3019
1171,1862,4,3023
1172,1863,3,3026
1173,1864,3,3029
1174,1865,1,3030
1175,1867,2,3032
1176,1868,1,3033
1177,1869,1,3034
1178,1870,2,3036
1179,1871,1,3037
1180,1874,1,3038
1181,1875,5,3043
1182,1876,5,3048
1183,1877,3,3051
1184,1878,6,3057
1185,1881,2,3059
1186,1883,2,3061
1187,1884,1,3062
1188,1885,3,3065
1189,1889,1,3066
1190,1891,2,3068
1191,1892,1,3069
1192,1893,1,3070
1193,1895,6,3076
1194,1896,2,3078
1195,1897,3,3081
1196,1898,4,3085
1197,1899,6,3091
1198,1900,1,3092
1199,1902,4,3096
1200,1903,1,3097
1201,1904,3,3100
1202,1905,1,3101
1203,1906,3,3104
1204,1907,1,3105
1205,1909,3,3108
1206,1910,1,3109
1207,1911,5,3114
1208,1912,3,3117
1209,1913,6,3123
1210,1914,2,3125
1211,1915,2,3127
1212,1916,2,3129
1213,1917,1,3130
1214,1918,3,3133
1215,1919,1,3134
1216,1920,1,3135
1217,1921,1,3136
1218,1923,2,3138
1219,1924,2,3140
1220,1925,2,3142
1221,1926,3,3145
1222,1927,2,3147
1223,1930,2,3149
1224,1931,2,3151
1225,1932,1,3152
1226,1933,2,3154
1227,1934,2,3156
1228,1935,3,3159
1229,1936,2,3161
1230,1937,3,3164
1231,1938,3,3167
1232,1939,2,3169
1233,1940,4,3173
1234,1941,3,3176
1235,1942,1,3177
1236,1943,1,3178
1237,1944,3,3181
1238,1945,4,3185
1239,1946,2,3187
1240,1947,2,3189
1241,1948,1,3190
1242,1949,1,3191
1243,1952,1,3192
1244,1953,1,3193
1245,1954,3,3196
1246,1955,1,3197
1247,1958,2,3199
1248,1959,3,3202
1249,1960,1,3203
1250,1962,3,3206
1251,1967,1,3207
1252,1968,2,3209
1253,1970,1,3210
1254,1974,1,3211
1255,1979,2,3213
1256,1980,1,3214
1257,1981,2,3216
1258,1982,1,3217
1259,1983,2,3219
1260,1984,1,3220
1261,1986,1,3221
1262,1987,5,3226
1263,1988,1,3227
1264,1989,4,3231
1265,1990,2,3233
1266,1991,2,3235
1267,1993,5,3240
1268,1994,4,3244
1269,1995,3,3247
1270,1996,3,3250
1271,1997,3,3253
1272,2000,1,3254
1273,2001,4,3258
1274,2002,3,3261
1275,2003,4,3265
1276,2004,8,3273
1277,2005,1,3274
1278,2006,2,3276
1279,2007,16,3292
1280,2008,3,3295
1281,2009,5,3300
1282,2010,4,3304
1283,2011,5,3309
1284,2014,7,3316
1285,2015,4,3320
1286,2016,3,3323
1287,2017,8,3331
1288,2018,4,3335
1289,2019,5,3340
1290,2020,1,3341
1291,2021,4,3345
1292,2022,9,3354
1293,2023,6,3360
1294,2024,3,3363
1295,2025,6,3369
1296,2026,1,3370
1297,2027,2,3372
1298,2028,8,3380
1299,2029,8,3388
1300,2030,4,3392
1301,2031,2,3394
1302,2032,2,3396
1303,2033,2,3398
1304,2035,2,3400
1305,2036,3,3403
1306,2037,8,3411
